Account Number,Post Date,Check,Description,Debit,Credit,Status
"XXXXXX7703",1/22/2026,,"ATVO SPA NEW PALMARI MOB SAN DONA' DI IT",14.09,,Posted
"XXXXXX7703",1/22/2026,,"TRENITALIA - PT WL       https://www.tIT",4.76,,Posted
"XXXXXX7703",1/22/2026,,"Mini Market              Praha 1      CZ",6.28,,Posted
"XXXXXX7703",1/22/2026,,"DPCZN00103               Praha 9 - VysCZ",57.98,,Posted
"XXXXXX7703",1/22/2026,,"FOREIGN CURRENCY FEE",1.49,,Posted
"XXXXXX7703",1/22/2026,,"FOREIGN CURRENCY FEE",.20,,Posted
"XXXXXX7703",1/22/2026,,"FOREIGN CURRENCY FEE",.42,,Posted
"XXXXXX7703",1/22/2026,,"FOREIGN CURRENCY FEE",.14,,Posted
"XXXXXX7703",1/22/2026,,"FOREIGN CURRENCY FEE",.18,,Posted
"XXXXXX7703",1/22/2026,,"FOREIGN CURRENCY FEE",1.73,,Posted
"XXXXXX7703",1/21/2026,,"Hrad - Is 4              Praha 012    CZ",58.04,,Posted
"XXXXXX7703",1/21/2026,,"SBX PRAHA CLOCK          PRAHA 1      CZ",8.66,,Posted
"XXXXXX7703",1/21/2026,,"Luxor01 Palac knih       PRAHA 1      CZ",23.07,,Posted
"XXXXXX7703",1/21/2026,,"FOREIGN CURRENCY FEE",1.74,,Posted
"XXXXXX7703",1/21/2026,,"FOREIGN CURRENCY FEE",.25,,Posted
"XXXXXX7703",1/21/2026,,"FOREIGN CURRENCY FEE",.69,,Posted
"XXXXXX7703",1/20/2026,,"WOKIN Purkynova          Praha        CZ",2.64,,Posted
"XXXXXX7703",1/20/2026,,"WOKIN NOVE MESTO         PRAHA 1      CZ",11.03,,Posted
"XXXXXX7703",1/20/2026,,"CAPUCCINERIA             HLAVNI MESTO CZ",9.12,,Posted
"XXXXXX7703",1/20/2026,,"SUPERMARKET              JOSEFOV      CZ",14.59,,Posted
"XXXXXX7703",1/20/2026,,"SUVENIR                  PRAHA 1      CZ",48.00,,Posted
"XXXXXX7703",1/20/2026,,"POTRAVINY 45             PRAHA        CZ",21.60,,Posted
"XXXXXX7703",1/20/2026,,"CAFE BAR &amp; RESTAURANT MELPRAHA        CZ",70.18,,Posted
"XXXXXX7703",1/20/2026,,"SUMUP  *PRAGUE TOUR JAN  HOSTIVICE    CZ",11.62,,Posted
"XXXXXX7703",1/20/2026,,"Kamalion OC Quadrio      Praha 1      CZ",15.31,,Posted
"XXXXXX7703",1/20/2026,,"FOREIGN CURRENCY FEE",.07,,Posted
"XXXXXX7703",1/20/2026,,"FOREIGN CURRENCY FEE",.33,,Posted
"XXXXXX7703",1/20/2026,,"FOREIGN CURRENCY FEE",.27,,Posted
"XXXXXX7703",1/20/2026,,"FOREIGN CURRENCY FEE",.43,,Posted
"XXXXXX7703",1/20/2026,,"FOREIGN CURRENCY FEE",1.44,,Posted
"XXXXXX7703",1/20/2026,,"FOREIGN CURRENCY FEE",.64,,Posted
"XXXXXX7703",1/20/2026,,"FOREIGN CURRENCY FEE",2.10,,Posted
"XXXXXX7703",1/20/2026,,"FOREIGN CURRENCY FEE",.34,,Posted
"XXXXXX7703",1/20/2026,,"FOREIGN CURRENCY FEE",.45,,Posted
"XXXXXX7703",1/18/2026,,"ASTROBIN LITE            BELLINZONA   CH",22.50,,Posted
"XXXXXX7703",1/18/2026,,"WWW.HOSTELWORLD.COM      DUBLIN       IE",13.81,,Posted
"XXXXXX7703",1/18/2026,,"FOREIGN CURRENCY FEE",.41,,Posted
"XXXXXX7703",1/16/2026,,"TRENITALIA - PT WL       https://www.tIT",4.72,,Posted
"XXXXXX7703",1/16/2026,,"FOREIGN CURRENCY FEE",.14,,Posted
"XXXXXX7703",1/13/2026,,"WWW.HOSTELWORLD.COM      DUBLIN       IE",8.17,,Posted
"XXXXXX7703",1/13/2026,,"EXPEDIA 73348643328483   EXPEDIA.COM  WA",49.52,,Posted
"XXXXXX7703",1/11/2026,,"Hera Hora di ElHassan    Padova       IT",9.33,,Posted
"XXXXXX7703",1/11/2026,,"FOREIGN CURRENCY FEE",.27,,Posted
"XXXXXX7703",1/7/2026,,"INTELLIGHENZIA PROJECT   PADOVA       IT",17.62,,Posted
"XXXXXX7703",1/7/2026,,"FOREIGN CURRENCY FEE",.52,,Posted
"XXXXXX7703",1/2/2026,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,34.60,Posted
"XXXXXX7703",1/2/2026,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,74.79,Posted
"XXXXXX7703",12/22/2025,,"TOKIO                5727COLONIA LOS TAV",39.02,,Posted
"XXXXXX7703",12/22/2025,,"FOREIGN CURRENCY FEE",1.17,,Posted
"XXXXXX7703",12/13/2025,,"AMZN Mktp IT*ZE81730E4   AMAZON.IT    LU",150.27,,Posted
"XXXXXX7703",11/17/2025,,"AMZN Mktp IT*1I1B85SX5   AMAZON.IT    LU",28.53,,Posted
"XXXXXX7703",11/6/2025,,"AIRBNB * HMMJ59TBF3      128-520-3333 LU",64.48,,Posted
"XXXXXX7703",11/6/2025,,"FOREIGN CURRENCY FEE",1.93,,Posted
"XXXXXX7703",11/2/2025,,"STEAMGAMES.COM 4259522985425-8899642  WA",10.69,,Posted
"XXXXXX7703",10/21/2025,,"SumUp  *STEAMPOWER INN   VERONA       IT",9.34,,Posted
"XXXXXX7703",10/21/2025,,"FOREIGN CURRENCY FEE",.28,,Posted
"XXXXXX7703",10/15/2025,,"GRUPPO ARGENTA S.P.A.    REGGIO EMILIAIT",.46,,Posted
"XXXXXX7703",10/15/2025,,"FOREIGN CURRENCY FEE",.01,,Posted
"XXXXXX7703",10/10/2025,,"FS *SUPERCELLSTORE       fsprg.com    CA",5.34,,Posted
"XXXXXX7703",10/7/2025,,"TRENITALIA - PT WL       https://www.tIT",42.24,,Posted
"XXXXXX7703",10/7/2025,,"FOREIGN CURRENCY FEE",1.26,,Posted
"XXXXXX7703",10/2/2025,,"FS *SUPERCELLSTORE       fsprg.com    CA",22.44,,Posted
"XXXXXX7703",10/1/2025,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,272.68,Posted
"XXXXXX7703",10/1/2025,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,302.67,Posted
"XXXXXX7703",9/23/2025,,"FISHSKYN                 914-420- CREDIT",,29.99,Posted
"XXXXXX7703",9/16/2025,,"SHELL OIL 57544553100    CHAPEL HILL  NC",39.32,,Posted
"XXXXXX7703",9/15/2025,,"FOOD LION #1608          CHAPEL HILL  NC",8.01,,Posted
"XXXXXX7703",9/13/2025,,"AMAZON RETA* 0N5M282A3   WWW.AMAZON.COWA",10.05,,Posted
"XXXXXX7703",9/11/2025,,"MR TOKYO JAPANESE RESTA. CHAPEL HILL  NC",38.00,,Posted
"XXXXXX7703",9/8/2025,,"FISHSKYN                 914-420-7033 UT",68.79,,Posted
"XXXXXX7703",9/8/2025,,"B&amp;H PHOTO 800-606-6969   800-2215743  NY",144.40,,Posted
"XXXXXX7703",9/3/2025,,"JIFFY LUBE #1326         CHAPEL HILL  NC",13.60,,Posted
"XXXXXX7703",9/1/2025,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,218.18,Posted
"XXXXXX7703",9/1/2025,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,19.50,Posted
"XXXXXX7703",8/27/2025,,"RIPTIDE-DURHAM           DURHAM       NC",17.00,,Posted
"XXXXXX7703",8/26/2025,,"AMAZON RETA* 1422W1BB3   WWW.AMAZON.COWA",16.05,,Posted
"XXXXXX7703",8/26/2025,,"AMAZON MKTPL*FS1LN0WB3   Amzn.com/billWA",14.43,,Posted
"XXXXXX7703",8/25/2025,,"SHELL OIL 57544553100    CHAPEL HILL  NC",48.00,,Posted
"XXXXXX7703",8/22/2025,,"AMAZON MKTPL*XT52Z6G03   Amzn.com/billWA",18.18,,Posted
"XXXXXX7703",8/20/2025,,"CIRCLE K # 23489         DURHAM       NC",40.00,,Posted
"XXXXXX7703",8/20/2025,,"FOOD LION #1608          CHAPEL HILL  NC",23.63,,Posted
"XXXXXX7703",8/20/2025,,"WL *STEAM PURCHASE       425-889-9642 WA",21.39,,Posted
"XXXXXX7703",8/16/2025,,"SHERWIN-WILLIAMS702934   DURHAM       NC",194.44,,Posted
"XXXXXX7703",8/15/2025,,"AMAZON MKTPL*FD97B46U3   Amzn.com/billWA",25.24,,Posted
"XXXXXX7703",8/12/2025,,"AMAZON MKTPL*657RJ6ME3   Amzn.com/billWA",25.30,,Posted
"XXXXXX7703",8/7/2025,,"STEAMGAMES.COM 4259522985425-8899642  WA",10.69,,Posted
"XXXXXX7703",8/1/2025,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,1207.86,Posted
"XXXXXX7703",8/1/2025,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,286.74,Posted
"XXXXXX7703",7/30/2025,,"GOLDEN DRAGON RESTAURANT RALEIGH      NC",11.57,,Posted
"XXXXXX7703",7/30/2025,,"SHELL OIL 57544553100    CHAPEL HILL  NC",39.00,,Posted
"XXXXXX7703",7/29/2025,,"AMAZON RETA* K96LR9PD3   WWW.AMAZON.COWA",851.32,,Posted
"XXXXXX7703",7/29/2025,,"ADVANCE AUTO PARTS #8459 CHAPEL HILL  NC",69.80,,Posted
"XXXXXX7703",7/14/2025,,"HERTZ                6938SALTA        AV",32.01,,Posted
"XXXXXX7703",7/14/2025,,"HERTZ                6938SALTA        AV",98.55,,Posted
"XXXXXX7703",7/14/2025,,"FOREIGN CURRENCY FEE",.96,,Posted
"XXXXXX7703",7/14/2025,,"FOREIGN CURRENCY FEE",2.95,,Posted
"XXXXXX7703",7/9/2025,,"Prime Video *NL74Y7TY1   888-802-3080 WA",4.27,,Posted
"XXXXXX7703",7/9/2025,,"2ND KITCHENS RD AIRPORT  MORRISVILLE  NC",16.98,,Posted
"XXXXXX7703",7/8/2025,,"161 PCA Garage - T       Atlanta      GA",5.00,,Posted
"XXXXXX7703",7/8/2025,,"PILOT 063                PIEDMONT     SC",17.17,,Posted
"XXXXXX7703",7/7/2025,,"BP#6462758TIMES #31      CHARLOTTE    NC",14.15,,Posted
"XXXXXX7703",7/7/2025,,"BP#6462758TIMES #31      CHARLOTTE    NC",40.05,,Posted
"XXXXXX7703",7/7/2025,,"CVS/PHARMACY #04391      DURHAM       NC",32.21,,Posted
"XXXXXX7703",7/1/2025,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,64.10,Posted
"XXXXXX7703",7/1/2025,,"FS *SUPERCELLSTORE       fsprg.com    CA",22.44,,Posted
"XXXXXX7703",6/28/2025,,"COLLEGE TRANSCRIPT       clover.com   VA",15.90,,Posted
"XXXXXX7703",6/25/2025,,"TST*SANDPIPER COFFEE     Bald Head IslNC",13.69,,Posted
"XXXXXX7703",6/21/2025,,"MEADOWMONT               CHAPEL HILL  NC",41.57,,Posted
"XXXXXX7703",6/20/2025,,"SHELL OIL 57544498306    ASHEVILLE    NC",38.22,,Posted
"XXXXXX7703",6/20/2025,,"NCSU TRANS AIMS-BF       www.ex.com   NC",15.00,,Posted
"XXXXXX7703",6/17/2025,,"SQ *POLLEN COFFEE &amp; FLOWEAsheville    NC",4.82,,Posted
"XXXXXX7703",6/17/2025,,"SQ *POLLEN COFFEE &amp; FLOWEAsheville    NC",8.56,,Posted
"XXXXXX7703",6/17/2025,,"SQ *POLLEN COFFEE &amp; FLOWEAsheville    NC",8.02,,Posted
"XXXXXX7703",6/15/2025,,"FOOD LION #1608          CHAPEL HILL  NC",22.11,,Posted
"XXXXXX7703",6/14/2025,,"TST* VELVET HIPPO - NEW  919-294-4447 NC",15.05,,Posted
"XXXXXX7703",6/11/2025,,"TASTE VIETNAMESE CUISINE MORRISVILLE  NC",115.00,,Posted
"XXXXXX7703",6/10/2025,,"NCSU T2 PAYSTATION       RALEIGH      NC",3.00,,Posted
"XXXXXX7703",6/1/2025,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,236.84,Posted
"XXXXXX7703",6/1/2025,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,236.84,Posted
"XXXXXX7703",5/5/2025,,"SNCF VOYAGEURS           ROISSY       FR",36.31,,Posted
"XXXXXX7703",5/5/2025,,"FOREIGN CURRENCY FEE",1.08,,Posted
"XXXXXX7703",5/3/2025,,"THECARPARK PARKMOBILE APP919-8337522  NC",8.95,,Posted
